id	name
1	Kontrakt
2	Faktura
3	Last order
4	Följesedel
5	AddLO
6	TrpOrder
7	PkgSpec
8	Lastorder Inköp
9	TrpOrder Inköp
10	Följesedel Inköp
12	Följesedel USA
13	TrpBrev
14	TrpOrder Avrop DK
15	TrpOrder Inköp Avrop  DK
16	TrpOrder Avrop SEK
17	TrpOrder Avrop Inköp Avrop SEK
20	Resultat av körning
22	VerkGradRapport
101	Kontrakt (ENG)
103	Lastorder (ENG)
106	Trp Order (ENG)
501	Attest
502	AttestRun
505	AVR_SPEC_TALLY_INTERNAL_VER2
506	AVR_SPEC_TALLY_VER2
507	AVRAKNING_2
508	AVRAKNING_ver_II
509	CMR
510	CONTRACT_AGENT
511	FAKTURA_ENG_IDAHO_NOTE
512	FAKTURA_ENG_längd_NOTE
515	FAKTURA_ENG_NOTE
516	FAKTURA_ENG_NOTE_dk
517	FAKTURA_ENG_PKTTYP_NOTE
518	FAKTURA_NOTE
519	FAKTURA_u_moms_NOTE_dk
520	FRAKT_AVRAKNING
521	FSC_Statistik
522	HampenPaketTrfLogg
523	HampenTrfLogg
524	HYVEL_ORDER
525	INCONTRACT
526	INV_BY_LENGTH
527	INV_BY_PKG_CODE
528	INV_BY_PKGNo
529	INV_BY_PKGNo_Summ
530	InvenLagerListaPktTyp
531	InvenSummary
532	InventeringPerPktTyp
533	KONTRAKT_ip_pi_note_sv
534	KP_LISTA
536	LASTORDER_NOTE_STATUS_ver3
537	LASTORDER_VERK_NOTE_dk_ver2
538	LASTORDER_VERK_NOTE_ ver3
539	LO_HH
540	NotInv
541	PEFC_Statistik
542	PKG_PRODUCTION
543	PKGNOLIST_I
544	PROD_BY_LENGTH
545	PROD_BY_PKGNo
546	SAM_LAST
547	SAM_LAST_II
548	SAM_LAST_PKTNR
549	SAM_LAST_PKTNR_II
550	SAM_LAST_USA
551	SAM_LAST_USA_II
552	SAM_LASTperref
553	SAML_FAKT
554	SHIPPING_INSTRUCT
555	SokAvrop
556	SokAvrop_PROD
557	SOKAVROP_VERK_DIM
558	SOKAVROP_VERK_DIM_PO
559	SPEC_ACT_VER2
560	SPEC_ALLA_LASTER_III
561	SPEC_ALLA_LASTER_VERK_dk
562	SPEC_ALLA_LASTER_VERK_III
563	SPEC_NOPKGNO
564	SPECIFICATION_IDAHO_VER3
565	SPECIFICATION_PROD_VER3
566	SPECIFICATION_SV_GrpLast_VER3
567	SPECIFICATION_SV_VER3
568	SPECIFICATION_SV_VER2_dk
569	SPECIFICATION_VER2
570	SPECIFICATION_VER2_dk
571	STEF_I
572	STEF_Per_Kontrakt
573	TALLY
574	TALLY_INT_USA
575	TALLY_INTERNAL
576	TALLY_INTERNAL_USA_VER2_NOTE
577	TALLY_INTERNAL_VER2_NOTE_dk
578	TALLY_VER2_NOTE_dk
579	TALLY_VER3_NOTE_MM
580	trp_order_inkop_NOTE_dk
581	trp_order_inkop_NOTE_STATUS
582	UtfallKorning
583	UtfallKorningII
584	WM_PrisLista_1
585	AVROPSORDER_INKOP_NOTE_dk_ver2
587	Lev_Kontrakt
588	Lev_Kontrakt_with_Avrop
589	KONTRAKTProdInstru_NOTE_ver2
590	KONTRACT_NOTE
597	CONTRACTProdInstru_NOTE_ver2
598	CONTRACT_NOTE
599	INCONTRACT_NOTE
601	LASTORDER_NOTE_ver3
602	Lastorder_inkop_NOTE_ver2
603	TRP_ORDER_NOTE
604	TRP_ORDER_INKOP_NOTE
605	TRP_ORDER_NOTE_dk
607	LASTORDER_NOTE_dk_ver2
608	Lastorder_inkop_NOTE_dk_ver2
609	LASTORDER_INKOP_NOTE_dk
610	LASTORDER_INKOP_NOTE_dk_eng
612	CONTRACT_NOTE_dk_eng
613	INCONTRACT_NOTE_dk
615	CONTRACT_NOTE_dk
617	USContractBL
618	TRP_ORDER_NOTE_STATUS
620	CONTRACTProdInstru_NOTE_LENA-SE
621	AVROPSORDER_NOTE_STATUS_ver3
622	TRP_AVROPSORDER_NOTE_STATUS
623	AVROPSORDER_NOTE_dk_ver2
624	TRP_AVROPSORDER_NOTE_dk
625	TRP_AVROPSORDER_INKOP_NOTE_dk
626	OrderPreCalc
627	CONTRACTProdInstru_NOTE_LENA
630	KONTRACT_AGENT
631	INCONTRACTProdInstru_NOTE_ver2
633	KONTRAKTProdInstru_AGENT_ver2
634	LASTORDER_VERK_NOTE_ver3
636	Kundetiketter_III
637	PkgCodes
638	cboDocType
